City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,fortuna,40.5982,-124.1573,3.19,93,0,4.12,US,1675234432
183,nortelandia,-14.4547,-56.8028,21.91,96,100,1.53,BR,1675234432
184,saiha,22.4833,92.9667,30.44,13,64,2.05,IN,1675234433
185,presidencia roque saenz pena,-26.7852,-60.4388,22.88,54,0,0.2,AR,1675234433
186,tateyama,34.9833,139.8667,14.5,61,91,12.61,JP,1675234434
187,kralendijk,12.15,-68.2667,23.99,83,1,3.09,BQ,1675234435
188,pacific grove,36.6177,-121.9166,7.58,83,0,2.06,US,1675234435
189,verkhnevilyuysk,63.4453,120.3167,-28.85,97,100,3.78,RU,1675234436
190,grand gaube,-20.0064,57.6608,29.65,69,100,5.36,MU,1675234436
191,narsaq,60.9167,-46.05,-11.46,93,100,3.1,GL,1675234437
192,isahaya,32.8411,130.0431,15.63,55,75,7.2,JP,1675234437
193,verkhnyaya inta,65.9811,60.3094,-4.71,79,59,7.93,RU,1675234438
194,rocha,-34.4833,-54.3333,19.74,96,13,1.89,UY,1675234438
195,clyde river,70.4692,-68.5914,-35.87,68,0,3.09,CA,1675234439
196,les cayes,18.2,-73.75,22.76,82,27,1.7,HT,1675234440
197,vao,-22.6667,167.4833,26.27,79,100,6.09,NC,1675234440
198,grindavik,63.8424,-22.4338,-2.74,80,0,2.57,IS,1675234178
199,srednekolymsk,67.45,153.6833,-30.83,96,87,0.37,RU,1675234441
200,mananjary,-21.2167,48.3333,24.33,84,100,3.04,MG,1675234441
201,acapulco,16.8634,-99.8901,23.75,72,0,1.8,MX,1675234310
202,lufilufi,-13.8745,-171.5986,25.88,72,100,5.86,WS,1675234442
203,hasaki,35.7333,140.8333,13.22,49,95,12.74,JP,1675234443
204,ostrovnoy,68.0531,39.5131,-6.02,96,91,2.94,RU,1675234444
205,tal,35.4791,72.2439,4.41,58,100,2.2,PK,1675234445
206,castro,-24.7911,-50.0119,17.25,99,100,1.09,BR,1675234446
207,manadhoo,5.7667,73.3833,26.93,76,100,6.15,MV,1675234446
208,kutum,14.2,24.6667,21.31,16,14,2.61,SD,1675234447
209,terrace,54.5163,-128.6035,0.95,100,100,1.03,CA,1675234448
210,vardo,70.3705,31.1107,-0.01,86,100,11.83,NO,1675234449
211,port blair,11.6667,92.75,30.02,70,20,3.6,IN,1675234449
212,plettenberg bay,-34.0527,23.3716,22.77,68,0,4.9,ZA,1675234450
213,baruun-urt,46.6806,113.2792,-15.09,79,2,4.23,MN,1675234451
214,east london,-33.0153,27.9116,28.52,69,0,3.09,ZA,1675234451
215,lukhovka,54.1484,45.2573,-2.22,94,99,5.84,RU,1675234452
216,pajapan,18.25,-94.7,21.98,84,6,2.44,MX,1675234453
217,ponta do sol,32.6667,-17.1,15.35,63,13,3.71,PT,1675234453
218,kasane,-17.8167,25.15,21.05,100,75,3.09,BW,1675234454
219,yazman,29.1212,71.7446,21.39,27,0,0.76,PK,1675234455
220,carnarvon,-24.8667,113.6333,26.82,72,100,6.45,AU,1675234456
221,scarborough,54.2797,-0.4044,6.76,84,100,4.47,GB,1675234458
222,nisia floresta,-6.0911,-35.2086,24.21,79,95,2.91,BR,1675234388
223,amuntai,-2.4177,115.2494,29.0,69,97,0.47,ID,1675234459
224,adilcevaz,38.8039,42.7342,-0.89,84,96,1.55,TR,1675234460
225,daru,-9.0763,143.2092,28.34,83,100,4.18,PG,1675234461
226,raudeberg,61.9875,5.1352,1.59,1,99,4.29,NO,1675234462
227,sao gabriel da cachoeira,-0.1303,-67.0892,20.99,98,98,0.54,BR,1675234462
228,ketchikan,55.3422,-131.6461,4.99,100,100,3.09,US,1675234463
229,buzmeyin,38.0507,58.2056,7.85,76,100,3.09,TM,1675234464
230,san jose,37.3394,-121.895,9.0,53,40,1.54,US,1675234383
231,bathsheba,13.2167,-59.5167,23.34,78,20,3.09,BB,1675234465
232,eureka,40.8021,-124.1637,3.34,68,100,1.58,US,1675234466
233,ballina,-28.8667,153.5667,27.23,85,83,3.32,AU,1675234467
234,salalah,17.0151,54.0924,24.05,53,75,3.09,OM,1675234467
235,iracoubo,5.4802,-53.2011,23.28,88,34,1.59,GF,1675234468
236,nanakuli,21.3906,-158.1547,24.99,78,20,2.06,US,1675234469
237,maceio,-9.6658,-35.7353,22.69,100,40,1.54,BR,1675234469
238,port augusta,-32.5,137.7667,24.78,41,0,7.78,AU,1675234470
239,chirnogeni,43.9,28.2333,0.23,85,14,4.66,RO,1675234470
240,haines junction,60.7522,-137.5108,-15.06,99,98,0.75,CA,1675234471
241,kuznechnoye,61.12,29.8686,-12.4,98,66,0.96,RU,1675234471
242,gitarama,-2.0744,29.7567,15.7,66,67,0.29,RW,1675234472
243,auki,-8.7676,160.7034,27.84,78,13,4.38,SB,1675234472
244,coihaique,-45.5752,-72.0662,10.97,66,0,1.54,CL,1675234473
245,linxia,35.6003,103.2064,-0.53,23,100,1.36,CN,1675234474
246,wloszczowa,50.8526,19.9659,2.32,92,99,7.22,PL,1675234475
247,hammerfest,70.6634,23.6821,0.25,80,75,8.23,NO,1675234475
248,contamana,-7.3333,-75.0167,22.09,95,100,1.05,PE,1675234476
249,elko,41.0002,-115.5012,-16.31,81,79,0.89,US,1675234289
250,waddan,29.1614,16.139,7.62,72,3,3.09,LY,1675234476
251,henties bay,-22.116,14.2845,17.97,84,100,1.84,NA,1675234477
252,port hedland,-20.3167,118.5667,35.03,55,14,7.72,AU,1675234478
